               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064094,            0.024323,                   0,             0.15314,             0.43989,             0.14066,            0.037701,            0.033674,            0.016276,                   0,            0.070112,           0.0033209,           0.0033209
                   1,            0.044875,             0.01525,                   0,             0.10289,             0.22639,             0.11337,            0.040663,            0.035793,            0.018542,                   0,            0.040046,           0.0065884,           0.0065884
                   2,            0.039866,            0.012591,                   0,            0.020097,            0.040972,           0.0073826,            0.001542,            0.044997,            0.022051,                   0,           0.0099138,           0.0097899,           0.0097899
                   3,            0.034784,            0.011546,                   0,            0.081489,              0.1375,            0.054503,            0.013565,            0.033006,            0.025341,                   0,            0.009703,            0.009703,            0.009703
                   4,              0.0318,            0.010686,                   0,            0.035991,             0.64306,            0.077634,            0.023036,            0.035364,            0.024653,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.02915,            0.010328,                   0,            0.046195,             0.65764,             0.12087,            0.027244,            0.034915,            0.023758,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.028005,           0.0098924,                   0,            0.093319,             0.68194,             0.17992,            0.045892,            0.033923,            0.024166,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.026652,           0.0095247,                   0,             0.03622,             0.24514,            0.025249,           0.0055361,            0.037724,            0.030225,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.026236,           0.0094317,                   0,             0.04849,             0.44931,            0.049629,            0.014137,            0.037582,            0.026229,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.025308,           0.0091181,                   0,            0.011396,             0.18194,           0.0072124,            0.001239,            0.045371,            0.027534,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.025288,           0.0089077,                   0,            0.057757,             0.52847,            0.056295,            0.013999,            0.038132,            0.028465,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.024458,           0.0086131,                   0,            0.052849,             0.39097,            0.043883,             0.01069,            0.039893,            0.029969,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.024584,           0.0088298,                   0,            0.090548,             0.66458,              0.1011,            0.035808,            0.032771,            0.028675,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.023695,           0.0084229,                   0,            0.032048,             0.39306,            0.033133,           0.0066968,            0.038343,            0.030285,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.023254,           0.0084889,                   0,            0.079397,             0.46111,            0.069095,            0.016164,            0.037872,            0.028024,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.02291,           0.0084924,                   0,             0.10476,             0.53472,             0.11219,            0.027983,            0.037755,            0.027495,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.022556,           0.0082838,                   0,             0.12712,             0.46806,             0.10228,            0.030568,            0.039556,            0.027694,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.022361,           0.0082447,                   0,            0.051665,             0.55069,            0.052644,            0.013985,            0.036989,            0.029507,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.022366,           0.0081559,                   0,             0.21962,             0.63889,             0.19683,            0.057441,            0.035984,            0.028197,                   0,            0.008317,            0.008317,            0.008317
